data	ce83 
conv1	416a 
pool1	4d85 
fire2/squeeze1x1	4dd3 
fire2/squeeze1x1_fire2/relu_squeeze1x1_0_split_0	4dd3 
fire2/squeeze1x1_fire2/relu_squeeze1x1_0_split_1	4dd3 
fire2/expand1x1	0000 
fire2/expand3x3	0000 
fire2/concat	0000 
fire3/squeeze1x1	51f3 
fire3/squeeze1x1_fire3/relu_squeeze1x1_0_split_0	51f3 
fire3/squeeze1x1_fire3/relu_squeeze1x1_0_split_1	51f3 
fire3/expand1x1	0000 
fire3/expand3x3	0000 
fire3/concat	0000 
pool3	4c03 
fire4/squeeze1x1	5737 
fire4/squeeze1x1_fire4/relu_squeeze1x1_0_split_0	5737 
fire4/squeeze1x1_fire4/relu_squeeze1x1_0_split_1	5737 
fire4/expand1x1	0000 
fire4/expand3x3	0000 
fire4/concat	0000 
fire5/squeeze1x1	5b01 
fire5/squeeze1x1_fire5/relu_squeeze1x1_0_split_0	5b01 
fire5/squeeze1x1_fire5/relu_squeeze1x1_0_split_1	5b01 
fire5/expand1x1	4316 
fire5/expand3x3	0000 
fire5/concat	4316 
pool5	547a 
fire6/squeeze1x1	5790 
fire6/squeeze1x1_fire6/relu_squeeze1x1_0_split_0	5790 
fire6/squeeze1x1_fire6/relu_squeeze1x1_0_split_1	5790 
fire6/expand1x1	0000 
fire6/expand3x3	5402 
fire6/concat	0000 
fire7/squeeze1x1	5010 
fire7/squeeze1x1_fire7/relu_squeeze1x1_0_split_0	5010 
fire7/squeeze1x1_fire7/relu_squeeze1x1_0_split_1	5010 
fire7/expand1x1	573b 
fire7/expand3x3	0000 
fire7/concat	573b 
fire8/squeeze1x1	51cd 
fire8/squeeze1x1_fire8/relu_squeeze1x1_0_split_0	51cd 
fire8/squeeze1x1_fire8/relu_squeeze1x1_0_split_1	51cd 
fire8/expand1x1	4afb 
fire8/expand3x3	0000 
fire8/concat	4afb 
fire9/squeeze1x1	0000 
fire9/squeeze1x1_fire9/relu_squeeze1x1_0_split_0	0000 
fire9/squeeze1x1_fire9/relu_squeeze1x1_0_split_1	0000 
fire9/expand1x1	0000 
fire9/expand3x3	0000 
fire9/concat	0000 
conv10	4973 
pool10	4877 
prob	0000 
